name,site_type,link,unique_id,gallery_url,picture_url
Western Tien-Shan,natural,https://whc.unesco.org/en/list/1490,1490,https://whc.unesco.org/en/list/1490/gallery,https://whc.unesco.org/uploads/thumbs/site_1490_0001-1200-630-20230124151745.jpg
Cold Winter Deserts of Turan,natural,https://whc.unesco.org/en/list/1693,1693,https://whc.unesco.org/en/list/1693/gallery,https://whc.unesco.org/uploads/thumbs/site_1693_0008-1200-630-20231020121711.jpg
Lake Turkana National Parks,natural_danger,https://whc.unesco.org/en/list/801,801,https://whc.unesco.org/en/list/801/gallery,https://whc.unesco.org/uploads/thumbs/site_0801_0001-1200-630-20090930173844.jpg
Mount Kenya National Park/Natural Forest,natural,https://whc.unesco.org/en/list/800,800,https://whc.unesco.org/en/list/800/gallery,https://whc.unesco.org/uploads/thumbs/site_0800_0014-1200-630-20140522114820.jpg
Lamu Old Town,cultural,https://whc.unesco.org/en/list/1055,1055,https://whc.unesco.org/en/list/1055/gallery,https://whc.unesco.org/uploads/thumbs/site_1055_0003-1200-630-20230120114844.jpg
Sacred Mijikenda Kaya Forests,cultural,https://whc.unesco.org/en/list/1231,1231,https://whc.unesco.org/en/list/1231/gallery,https://whc.unesco.org/uploads/thumbs/site_1231_0007-1200-630-20231020131353.jpg
"Fort Jesus, Mombasa",cultural,https://whc.unesco.org/en/list/1295,1295,https://whc.unesco.org/en/list/1295/gallery,https://whc.unesco.org/uploads/thumbs/site_1295_0003-1200-630-20230117151242.jpg
Kenya Lake System in the Great Rift Valley,natural,https://whc.unesco.org/en/list/1060,1060,https://whc.unesco.org/en/list/1060/gallery,https://whc.unesco.org/uploads/thumbs/site_1060_0009-1200-630-20251110100237.jpg
Thimlich Ohinga Archaeological Site,cultural,https://whc.unesco.org/en/list/1450,1450,https://whc.unesco.org/en/list/1450/gallery,https://whc.unesco.org/uploads/thumbs/site_1450_0006-1200-630-20231019092913.jpg
The Historic Town and Archaeological Site of Gedi,cultural,https://whc.unesco.org/en/list/1720,1720,https://whc.unesco.org/en/list/1720/gallery,https://whc.unesco.org/uploads/thumbs/site_1720_0006-1200-630-20240326123444.jpg
Phoenix Islands Protected Area,natural,https://whc.unesco.org/en/list/1325,1325,https://whc.unesco.org/en/list/1325/gallery,https://whc.unesco.org/uploads/thumbs/site_1325_0011-1200-630-20230301175340.jpg
Sulaiman-Too Sacred Mountain,cultural,https://whc.unesco.org/en/list/1230,1230,https://whc.unesco.org/en/list/1230/gallery,https://whc.unesco.org/uploads/thumbs/site_1230_0004-1200-630-20230113123928.jpg
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,cultural,https://whc.unesco.org/en/list/1442,1442,https://whc.unesco.org/en/list/1442/gallery,https://whc.unesco.org/uploads/thumbs/site_1442_0008-1200-630-20140622125232.jpg
Western Tien-Shan,natural,https://whc.unesco.org/en/list/1490,1490,https://whc.unesco.org/en/list/1490/gallery,https://whc.unesco.org/uploads/thumbs/site_1490_0001-1200-630-20230124151745.jpg
Town of Luang Prabang,cultural,https://whc.unesco.org/en/list/479,479,https://whc.unesco.org/en/list/479/gallery,https://whc.unesco.org/uploads/thumbs/site_0479_0001-1200-630-20151105114339.jpg
